Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber,address_line1,address_line2,city,state,postal_code
9 Mtr PSCC Poles 1200 Kg. V/L,"M/s. Mahesh Fabric, #10-A Industrial Estate NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2944-47 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Mahesh Fabric,#10-A Industrial Estate NSK Mill road Gulbarga-,,,585102
Pin & Disc & Pin X Arms,"M/s. Mahesh Fabric, #10-A Industrial Estate NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2944-47 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Mahesh Fabric,#10-A Industrial Estate NSK Mill road Gulbarga-,,,585102
Double TCC Sets Pole Clamp Sets,"M/s. Mahesh Fabric, #10-A Industrial Estate NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2944-47 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Mahesh Fabric,#10-A Industrial Estate NSK Mill road Gulbarga-,,,585102
8 Mtr RCC Poles 115 Rs. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr RCC Poles 145 Rs. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr RCC Poles 300 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 200 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 300 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 400 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 500 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 600 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
9 Mtr PSCC Poles 800 Kg. V/L,"M/s. Malu Engineering Metal Works, D-7 Industrial Estate, NSK Mill road Gulbarga-585102. Ph: 9845722270",I/2916-19 Dtd: 12.06.2024,11.06.2026,02 Years,9845722270,M/s. Malu Engineering Metal Works,D-7 Industrial Estate,NSK Mill road Gulbarga-,,585102
8 Mtr RCC Poles 115 Rs. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr RCC Poles 145 Rs. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr RCC Poles 300 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr PSCC Poles 200 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr PSCC Poles 300 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr PSCC Poles 400 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr PSCC Poles 500 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
9 Mtr PSCC Poles 600 Kg. V/L,"M/s. Malu Industries, Plot:102, KIADB Industrial Area Opp. Lokesh, Shahabad Ph: 9448489777, 9945221777",I/2922-25 Dtd: 12.06.2024,11.06.2026,02 Years,9448489777 / 9945221777,M/s. Malu Industries,Plot:102,Shahabad,,
Heat Shrinkable Kits for Power Cables,"M/s. Kaveri Electricals, Plot No. 21, Basava Complex, Large Road, Fort Road, Raichur-584101 Ph: 0857-5237407, 9880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,857-5237407 / 9880575430,M/s. Kaveri Electricals,Plot No. 21,Raichur-  0,,584101
A1.C.S. Base clamps & connectors,"M/s. Kaveri Electricals, Plot No. 21, Basava Complex, Large Road, Fort Road, Raichur-584101 Ph: 0857-5237407, 9880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,857-5237407 / 9880575430,M/s. Kaveri Electricals,Plot No. 21,Raichur-  0,,584101
Earthing Electrode,"M/s. Kaveri Electricals, Plot No. 21, Basava Complex, Large Road, Fort Road, Raichur-584101 Ph: 0857-5237407, 9880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,857-5237407 / 9880575430,M/s. Kaveri Electricals,Plot No. 21,Raichur-  0,,584101
Maintenance Free Earthing Electrode,"M/s. Kaveri Electricals, Plot No. 21, Basava Complex, Large Road, Fort Road, Raichur-584101 Ph: 0857-5237407, 9880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,857-5237407 / 9880575430,M/s. Kaveri Electricals,Plot No. 21,Raichur-  0,,584101
"a) 11 KV XLPE Insulated Cables: 3CX240 sq.mm, 3CX300 sq.mm, 3CX400 sq.mm, 3CX500 sq.mm b) 1.1 KV XLPE Insulated Aerial Bunch Cables: 3CX95 sq.mm, 3CX120 sq.mm c) 1.1 KV XLPE Insulated LT Cables: 3.5CX95 sq.mm, 3.5CX120 sq.mm, 3.5CX150 sq.mm, 3.5CX185 sq.mm, 3.5CX240 sq.mm, 3.5CX300 sq.mm, 3.5CX400 sq.mm, 3.5CX500 sq.mm d) 1.1 KV XLPE Insulated LT Cables: 4CX10 sq.mm, 4CX16 sq.mm, 4CX25 sq.mm, 4CX35 sq.mm, 4CX50 sq.mm, 4CX70 sq.mm, 4CX95 sq.mm, 4CX120 sq.mm, 4CX150 sq.mm, 4CX185 sq.mm, 4CX240 sq.mm, 4CX300 sq.mm, 4CX400 sq.mm, 4CX500 sq.mm e) 1.1 KV XLPE Insulated LT PVC Cable: 4CX10 sq.mm","M/s. Polycab India Limited, Unit-4, Plot No.1, Vadodara Road, Village: Virpur, Taluka: Vadodara, District: Vadodara-391243 Ph: 02676-272200/296627700 & 9606052802",12929-31 Dtd: 12.06.2024,11.06.2026,02 Years,676-272200 / 296627700 / 9606052802,M/s. Polycab India Limited,Unit-4,District: Vadodara-  02/ &,,391243
"25 KVA, 63 KVA, and 100 KVA EEL-4 Star rated Distribution Transformers","Modernik, Temple Road, Mothokhelli Forest Gate, Magadi Road, Bangalore-560091 Ph: 080-41465566, 9886005388",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,080-41465566 / 9886005388,Modernik,Temple Road,Bangalore-,,560091
"25 KVA, 63 KVA, 100 KVA, 250 KVA, and 500 KVA EEL-2.0 Star rated Distribution Transformers","Modernik, Temple Road, Mothokhelli Forest Gate, Magadi Road, Bangalore-560091 Ph: 080-41465566, 9886005388",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,080-41465566 / 9886005388,Modernik,Temple Road,Bangalore-,,560091
Heat Shrinkable Kits for Power Cables,"M/s. Kaveri Electricals, Plot No. 7, CFCW, Formed Road, GESCOM, Lalgeri Road, Ph: 8050573407, 8880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,8050573407 / 8880575430,M/s. Kaveri Electricals,Plot No. 7,Lalgeri Road,,
A.I. Crimping Lugs & Inline Connectors,"M/s. Kaveri Electricals, Plot No. 7, CFCW, Formed Road, GESCOM, Lalgeri Road, Ph: 8050573407, 8880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,8050573407 / 8880575430,M/s. Kaveri Electricals,Plot No. 7,Lalgeri Road,,
GI Base Channel & Clamps,"M/s. Kaveri Electricals, Plot No. 7, CFCW, Formed Road, GESCOM, Lalgeri Road, Ph: 8050573407, 8880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,8050573407 / 8880575430,M/s. Kaveri Electricals,Plot No. 7,Lalgeri Road,,
Maintenance Free Earthing Electrode,"M/s. Kaveri Electricals, Plot No. 7, CFCW, Formed Road, GESCOM, Lalgeri Road, Ph: 8050573407, 8880575430",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,8050573407 / 8880575430,M/s. Kaveri Electricals,Plot No. 7,Lalgeri Road,,
"D) 11 KV XLPE Insulated Cables: 3CX240 sq.mm, 3.5CX240 sq.mm, 3CX300 sq.mm, 3.5CX300 sq.mm, 3CX400 sq.mm, 3.5CX400 sq.mm, 3CX500 sq.mm, 3.5CX500 sq.mm, 3CX630 sq.mm, 3.5CX630 sq.mm, 3CX800 sq.mm, 3.5CX800 sq.mm, 3CX1000 sq.mm, 3.5CX1000 sq.mm, 3CX1200 sq.mm, 3.5CX1200 sq.mm","M/s. Polycab India Limited, Unit-4, Plot No.1, Vadodara Road, Vithalpur, Halol - Vadodara Road, Gujarat-389350 Ph: 02676-272200/22627700 & 606052802",12929-31 Dtd: 12.06.2024,11.06.2026,02 Years,676-272200 / 22627700 / 606052802,M/s. Polycab India Limited,Unit-4,Gujarat-  02/ &,,389350
E) 1.1 KV XLPE Insulated Aerial Bunched Cable: 3CX35 sq.mm to 3CX1200 sq.mm,"M/s. Polycab India Limited, Unit-4, Plot No.1, Vadodara Road, Vithalpur, Halol - Vadodara Road, Gujarat-389350 Ph: 02676-272200/22627700 & 606052802",12929-31 Dtd: 12.06.2024,11.06.2026,02 Years,676-272200 / 22627700 / 606052802,M/s. Polycab India Limited,Unit-4,Gujarat-  02/ &,,389350
F) 1.1 KV XLPE Insulated Cables: 3CX25 sq.mm to 3CX1200 sq.mm,"M/s. Polycab India Limited, Unit-4, Plot No.1, Vadodara Road, Vithalpur, Halol - Vadodara Road, Gujarat-389350 Ph: 02676-272200/22627700 & 606052802",12929-31 Dtd: 12.06.2024,11.06.2026,02 Years,676-272200 / 22627700 / 606052802,M/s. Polycab India Limited,Unit-4,Gujarat-  02/ &,,389350
G) 1.1 KV FRLS PVC Cable: 4CX10 sq.mm to 4CX1200 sq.mm,"M/s. Polycab India Limited, Unit-4, Plot No.1, Vadodara Road, Vithalpur, Halol - Vadodara Road, Gujarat-389350 Ph: 02676-272200/22627700 & 606052802",12929-31 Dtd: 12.06.2024,11.06.2026,02 Years,676-272200 / 22627700 / 606052802,M/s. Polycab India Limited,Unit-4,Gujarat-  02/ &,,389350
"25 KVA, 63 KVA, and 100 KVA EEL-4 Star rated Distribution Transformers","Modernik, Temple Road, Mothokhelli Forest Gate, Mangalore Road, Bangalore-560091 Ph: 9448045566, 9880650388",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,9448045566 / 9880650388,Modernik,Temple Road,Bangalore-,,560091
"25 KVA, 63 KVA, 100 KVA, 250 KVA - EEL-2.0 Star rated Distribution Transformers","Modernik, Temple Road, Mothokhelli Forest Gate, Mangalore Road, Bangalore-560091 Ph: 9448045566, 9880650388",12965-59 Dtd: 12.06.2024,11.06.2026,02 Years,9448045566 / 9880650388,Modernik,Temple Road,Bangalore-,,560091
"100KVA, 3 Phase Non-Sealed Type Aluminium Wound CRGO core, ONAN, EEI-2, Star Rated Distribution Transformer","M/s. Sainath Concare Products, Sy. No: 53, Buranahalli Industrial Area, Basavan Bagewadi Taluk, Dist: Vijayapur. Ph: 9171654542 / 9901440029",P9061-64 Dtd: 21.05.2024,20.05.2026,02 Years,9171654542 / 9901440029,M/s. Sainath Concare Products,Sy. No: 53,Dist: Vijayapur.   /,,
Pole Clamps,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
HT/LT Cross Arms,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
Top Support,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
Stay Set,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
DD Structure,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
LT & CT DB Box,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
Street Light Control Box,"M/s. Sandhu Power Products, R.S. No. 406/B, Plot No. 12, 20B, Industrial Estate, Nigadi, Pune-411044 (Maharashtra). Ph: 08372-297566 / Mob: 9740407566",P3064-67 Dtd: 12.06.2024,11.06.2026,02 Years,372-297566 / 9740407566,M/s. Sandhu Power Products,R.S. No. 406/B,Pune- (Maharashtra).  08 / Mob:,,411044
ACSR Weasel Conductor,"M/s. Sainath Conductor Pvt. Ltd., No: 4A, KSSIDC Industrial Estate, Hoskote Taluk, Bengaluru Rural District. Ph: 9880833112",P12888-91 Dtd: 12.06.2024,11.06.2026,02 Years,9880833112,M/s. Sainath Conductor Pvt. Ltd,No: 4A,Bengaluru Rural District,,
