Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber
ACSR Coyote Conductors (size 7/4.09 mm + 7/1.96 mm),"M/s. Excel Wires & Conductors, Plot No. 57, Blue Land, Industrial Estate, Udyambag-580001 Ph: 9449114041",3501-541 Dated: 18.10.2023,17.10.2025,02 Years,9449114041
11 kV Horizontal Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
11 kV V Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
2 Pin Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
4 Pin Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
LT V Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
LT Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
GI Pins,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
11 kV & LT GI Pins,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
33 kV Horizontal Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
33 kV D.P. Sets.,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063
9 Mtr RCC Poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
9 Mtr PSC poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
8 Mtr RCC poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
RCC Cem. poles,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
9 Mtr PSC poles (pls 300kg & 200kg W/L),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
9 Mtr PSC poles (pls 300kg & 200kg W/L),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Pin Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Special 3 Pin Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Special 3 Pin Cross Arm (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
HT & LT Top Support,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
EG Structure,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
DP Structure (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Guiding Set,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Single Pole DP Structure (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
33kV Horizontal Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
33kV Guy rod,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
Vested ACSR Conductor,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007
4 Pin Cross Arm,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
2 Pin Cross Arm,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
V Shape Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Top Support,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
HT & LT Top Support,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
DP Structure,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Horizontal Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Pole top clamps,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Guy set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Egg set (Disc & Pin Insulator),"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Egg set (Disc & Pin Insulator),"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Special 3 Pin Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
Special 3 Pin Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
V shape cross arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
33kV Guy set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
33kV DP set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
33kV Horizontal Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607
ACSR Rabbit Conductor (Size: 35 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335
ACSR Weasel Conductor (Size: 25 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335
ACSR Squirrel Conductor (Size: 17.5 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335
11KV VCBs (Outdoor VCBs),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560
11KV VCBs (Indoor VCBs),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560
11KV Load Break Switch (Module LBS),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560
11KV Potential Transformers,"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560
11KV Horizontal X-arms,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708
11KV V-X-arms,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708
DPC Set,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708
PCC (cement) Support Clamp,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708
Top Support for HT and LT,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708
RCC Clamp,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
2 RCC Clamp,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
8 Ft. X Arm,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
11 Mtr PSC poles,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
TTC Support,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
25kV/4kA/100kV T/C Structure,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
GI Stay Set,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
Shackle Insulator,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
33kV V Cross Arm,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
33kV D.P. Structure,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
11kV GI V Cross Arm,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
11kV GI Top Rod,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
11kV GI V Top Rod,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
11kV Glass 200 Amps GOS Set,"M/s. Shree Samartheshwari Fabricators, Syed Kirmani School Road, Near State Bank of India, Chittapur, Dist: Kalaburagi-585412 Ph: 9448052777",35636-61 Dtd: 18.10.2023,17.10.2025,02 Years,9448052777
RCC Mr Poles 14/5/8.6 W/L,"M/s. Srikruti Industries, Plot No. C-4, A-0, KIADB, Industrial Area 2nd Stage Gulbarga-585104 Mobile: 9448092777",35626-65 Dtd: 18.10.2023,17.10.2025,02 Years,9448092777
PSC Mr Poles 20/5/8.6 W/L,"M/s. Srikruti Industries, Plot No. C-4, A-0, KIADB, Industrial Area 2nd Stage Gulbarga-585104 Mobile: 9448092777",35626-65 Dtd: 18.10.2023,17.10.2025,02 Years,9448092777
PSC Mr Poles 20/6 W/L,"M/s. Srikruti Industries, Plot No. C-4, A-0, KIADB, Industrial Area 2nd Stage Gulbarga-585104 Mobile: 9448092777",35626-65 Dtd: 18.10.2023,17.10.2025,02 Years,9448092777
PSC Mr Poles 20/6 W/L,"M/s. Srikruti Industries, Plot No. C-4, A-0, KIADB, Industrial Area 2nd Stage Gulbarga-585104 Mobile: 9448092777",35626-65 Dtd: 18.10.2023,17.10.2025,02 Years,9448092777
PSC Mr Poles 14/0.6 W/L,"M/s. Srikruti Industries, Plot No. C-4, A-0, KIADB, Industrial Area 2nd Stage Gulbarga-585104 Mobile: 9448092777",35626-65 Dtd: 18.10.2023,17.10.2025,02 Years,9448092777
"200kVA and 250kVA, Outdoor type, Aluminium wound CRGO Core Distribution Transformers","M/s. Venkas Switchgears, No. 15/6, 10th Main Road, 3rd Phase, 2nd Stage, Industrial Suburb, Yeshwanthpur, Bangalore-560022 Ph: 9844021560",35606-69 Dtd: 18.10.2023,17.10.2025,02 Years,9844021560
"63kVA, 100kVA and 200kVA, Outdoor type, Aluminium/Copper wound CRGO Core Distribution Transformers EEL/2.4 (4-star)","M/s. Venkas Switchgears, No. 15/6, 10th Main Road, 3rd Phase, 2nd Stage, Industrial Suburb, Yeshwanthpur, Bangalore-560022 Ph: 9844021560",35606-69 Dtd: 18.10.2023,17.10.2025,02 Years,9844021560
Cable Glands,"M/s. CLEON Optipacks Pvt. Ltd., AP 405/A2, GIDC, Udyog Nagar, Jamnagar - Gujarat - 361004. Ph: 9409152610",5361-64 Dtd: 30.01.2024,30.01.2026,02 Years,9409152610
11kV VCB Panel,"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
11kV VCB Panel (Outdoor),"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
11kV VCB Panel (Indoor),"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
LT Panel,"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
LT VCB Panel,"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
LT Metering Cubicle,"M/s. V. Venkanna Electricals, Plot No. 65, Shanti Nagar, Raichur. Dist: Raichur Ph: 8887707102 / 9900883715",3507-73 Dtd: 18.10.2023,17.10.2025,02 Years,8887707102 / 9900883715
DP Structure,"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
DP Structure,"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
LT Pole,"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
LT Pole,"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
Guy Set (RCC Clamp),"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
Guy Set (RCC Clamp),"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
PCC Clamp (RCC Clamp),"M/s. Aryan Power System, Ltd. No. 96 2nd Cross, Prince Complex, Nehru Nagar, Bengaluru - 560020 Mob: 9535333771 Ph: 9535333771, 9539896457",3507-47 Dtd: 17.10.2023,17.10.2025,02 Years,9535333771 / 9535333771 / 9539896457
"1kV Aluminium XLPE Insulated Armoured Cable: 3½C x 25, 35, 50, 70, 95, 120 sq.mm","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"1kV Copper XLPE Insulated Armoured Cable: 4C x 2.5, 4, 6, 10, 16, 25, 35, 50, 70, 95, 120 sq.mm","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"11kV Copper XLPE Insulated Armoured Cable: 1C x 95, 120, 150, 185, 240, 300 sq.mm","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"11kV Aluminium XLPE Insulated Armoured Cable: 1C x 95, 120, 150, 185, 240, 300 sq.mm","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
105/215kV SC-95 sq.mm Aluminium XLPE Insulated Armoured Cable,"M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
RCC-9.5 Mtr Pole-350 Kg. W/L,"M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
3Ph-4W LT Metering Cubicle (CT-3PT),"M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"1125kVA RE/EL-1 CRGO Core Oil Cooled, Aluminium Wound, Distribution Transformer","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"215kVA, 100kVA and 25kVA RE/EL-2 CRGO Core, Oil Cooled Aluminium Wound","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"315kVA and 630kVA RE/EL-2 CRGO Core, Oil Cooled, Copper Wound, Distribution Transformer","M/s. Chandra Cables Ltd., Unit-1, Block No. 370, Near Kadi-Vithalapur Road, Vill. Koli, Dist. Gandhinagar-382721 Gujarat, India. Ph: 02764-232232/233352",5357540 Dtd: 31.01.2024; 5353536 Dtd: 31.01.2024; 5352869 Dtd: 31.01.2024; 5353452 Dtd: 31.01.2024,30.01.2026,02 Years,764-232232
"HT/LT Aluminum XLPE Armoured Cable: 3.5 Core x 1100, 95, 50, 35, 25, 16, 10, 6, 4, 2.5 sq.mm","M/s. Roonwal Wires and Cables, Gala No. 1, Roonwal Compound, Behind D.K. Gas, Shri Krishna Industrial Estate, Basak, Vasai (E), Dist. Palghar-401208. Ph: 9890677210",8/120 Dtd: 30.01.2026,30.01.2026,02 Years,9890677210
"LT Copper PVC Insulated Armoured Cable: 2 Core x 2.5, 4, 6, 10, 16, 25, 35, 50, 70, 95, 120 sq.mm","M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
"HT XLPE Armoured Cables: 3.5 Core x 70, 95, 120, 150, 185, 240 sq.mm","M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
Isolator Structure 33 kV,"M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
"DP Structure (3.3 kV, 11 kV, 33 kV)","M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
CT PT Units,"M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
VCB Panel,"M/s. Sri Venkateshwara Electrical Industries, Block No. 13, Industrial Estate, Sanath Nagar, Hyderabad-500018 (T.S. regn.)",539/92-94 Dtd: 31.10.2024,01.12.2025,02 Years,
